word, translation
aл, that
аба -- ава, air
айт, say
ак, white 
ал, take
ал ким?, who is that?
ал эмне?, what is that?
анын аты <name>, his/her name is <name>
анын аты ким?, what is his/her name?
апа, mother
араб -- арап, arabic
ата, father
баары, all
бала, boy 
бала, boy
бар, have
барак, paper
бер, give
бер, give
берүү, to give
бил, know
билүү, to know
боё, color
бөл, to divide 
бөлмө, room
бөлмө, room
бул, this
бул ким?, who is this? 
бул эмне?, what is this?
бүтүр, finish
гезит, newspaper
гүл, flower
гүл, flower
дептер, notebook
дос, friends
дүкөн, store
жаз, write
жакшысызбы?, are you good? (si. f.)
жакшысыздарбы?, are you good? (pl. f.)
жакшысыңарбы?, are you good? (pl. inf.)
жакшысыңбы?, are you good? (si. inf.)
жок, no
жооп, answer
жөө, walking
жүз, hundred
жээк, beach
кагаз, paper
кайтала, repeat
калем, pen
кандайсыз?, how are you? (si. f.)
кандайсыздар?, how are you? (pl. f.)
кандайсың?, how are you? (si. inf.)
кандайсыңар?, how are you? (pl. inf.)
кара, look
кара, black
ката, mistake
кел, come
келүү, to come
кең, wide 
кет, leave
ким?, who?
кир, come in
китеп, book
кичүү, small
клуб -- клуп, club 
кой, put
кол, hand
кол, arm
ќөз, eye
көл, lake
көнүгүү, exercise
ќөп, many
көр, see
көрүү, to see
көрүү, to see
күз, autumn
күн, sun
күрөң, brown
күү, melody
кыз, girl
кыргыз, kyrgyz
менин атым <name>, my name is <name>
мөөр, stamp
мугалим, teacher
обон -- овон, melody
ой, thought
ойло, think
оку, read
ооба, yes
ооба -- оова, yes 
оор, difficult
отур, seat
өрдөк, duck
өрт, fire
саат, hour
сабак, lesson
саламатсызбы?, hello (si. f.)
саламатсыздарбы?, hello (pl. f.)
саламатсыңарбы?, hello (pl. inf.)
саламатсыңбы?, hello (si. inf.)
сенин атын <name>, your name is <name>
сенин атын ким?, what is your name?
сөз, word
стол, chair
студент, student
суу, water
суу, water
сүйлө, speak
сүрөт, picture
тапшырма, assignment
тарт, draw
тең, the same (size or age)
тирүү, alive
тирүү, alive
тогуз, nine 
токтот, stop
тоо, mountain
тоо, mountain
төө, camel
төрт, four
тур, stand
түз, make
ук, listen
улант, continue
уул, son
уул, son
үй, house
үй, house
үч, three
чоң, big
чык, go out
ыргыт, throw
ырда, sing
эмне?, what?
