word, translation
Көл, lake
Өрдөк, duck
Ќөз, eye
Бөлмө, room
Ќөп, many
Төө, camel
Бөл, to divide 
Жөө, walking
Төрт, four
Мөөр, stamp
Өрт, fire
Күз, autumn
Кичүү, small
Гүл, flower
Тирүү, alive
Үй, house
Билүү, to know
Жүз, hundred
Көрүү, to see
Үч, three
Берүү, to give
Дүкөн, store
Келүү, to come
Күн, Sun
Жок, no
Тарт, draw
Кел, come
Ооба, yes
Боё, color
Кет, leave
Оку, read
Бил, know
Чык, go out
Айт, say
Ал, take
Кир, come in
Сүйлө, speak
Бер, give
Тур, stand
Ойло, think
Кой, put
Түз, make
Ук, listen
Отур, seat
Ырда, sing
Жаз, write
Көр, see
Ыргыт, throw
Улант, continue
Кара, look
Кайтала, repeat
Токтот, stop
Саат, hour
Уул, son
Баары, all
Cуу, water
Жээк, beach
Күү, melody
Тоо, mountain
Тирүү, alive
Оор, difficult
Көрүү, to see
Ооба -- оова, yes 
Аба -- ава, air
Обон -- овон, melody
Бала, boy 
Бар, have
Бүтүр, finish
Бер, give
Клуб -- клуп, club 
Араб -- Арап, arabic
Ак, white 
Кара, black
Кыргыз, kyrgyz
Кол, hand
Тогуз, nine 
Кагаз, paper
кең, wide 
Күрөң, brown
Чоң, big
Тең, the same (size or age)
Ким?, Who?
Эмне?, What?
Бул, This
Aл, That
Бул ким?, Who is this? 
Ал ким?, Who is that?
Бул эмне?, What is this?
Ал эмне?, What is that?
кыз, girl
бала, boy
студент, student
мугалим, teacher
ата, father
апа, mother
китеп, book
дептер, notebook
калем, pen
үй, house
суу, water
бөлмө, room
Тоо, mountain
Стол, chair
Гүл, flower
Сабак, lesson
Сүрөт, picture
дос, friends
Менин атым <name>, My name is <name>
Сенин атын <name>, Your name is <name>
Анын аты <name>, His/her name is <name>
Сенин атын ким?, What is your name?
Анын аты ким?, What is his/her name?
ката, mistake
көнүгүү, exercise
тапшырма, assignment
Сөз, word
Барак, paper
Гезит, newspaper
ой, thought
Уул, son
Кол, arm
Жооп, answer
Cаламатсызбы?, Hello (si. f.)
Саламатсыңбы?, Hello (si. inf.)
Саламатсыздарбы?, Hello (pl. f.)
Саламатсыңарбы?, Hello (pl. inf.)
Кандайсыз?, How are you? (si. f.)
Кандайсың?, How are you? (si. inf.)
Кандайсыздар?, How are you? (pl. f.)
Кандайсыңар?, How are you? (pl. inf.)
Жакшысызбы?, Are you good? (si. f.)
Жакшысыңбы?, Are you good? (si. inf.)
Жакшысыздарбы?, Are you good? (pl. f.)
Жакшысыңарбы?, Are you good? (pl. inf.)
